cciBuy,8/24/2022 5:55,4128,-87.5,-7625
cciExit,8/24/2022 5:38,4126.75,-25,-7537.5
cciBuy,8/24/2022 5:36,4127.25,-25,-7537.5
cciExit,8/24/2022 5:23,4131,-37.5,-7512.5
cciBuy,8/24/2022 5:22,4131.75,-37.5,-7512.5
cciExit,8/24/2022 5:17,4131.75,25,-7475
cciBuy,8/24/2022 4:47,4131.25,25,-7475
cciExit,8/24/2022 4:42,4131,625,-7500
cciBuy,8/24/2022 3:59,4118.5,625,-7500
cciExit,8/24/2022 3:56,4118.25,237.5,-8125
cciBuy,8/24/2022 3:37,4113.5,237.5,-8125
cciExit,8/24/2022 3:15,4125.25,137.5,-8362.5
cciBuy,8/24/2022 2:53,4122.5,137.5,-8362.5
cciExit,8/24/2022 2:49,4122.75,12.5,-8500
cciBuy,8/24/2022 2:36,4122.5,12.5,-8500
cciExit,8/24/2022 2:33,4121.5,-75,-8512.5
cciBuy,8/24/2022 2:26,4123,-75,-8512.5
cciExit,8/24/2022 2:19,4125.25,-25,-8437.5
cciBuy,8/24/2022 2:18,4125.75,-25,-8437.5
cciExit,8/24/2022 2:15,4126.5,75,-8412.5
cciBuy,8/24/2022 1:57,4125,75,-8412.5
cciExit,8/24/2022 1:51,4124.75,75,-8487.5
cciBuy,8/24/2022 1:22,4123.25,75,-8487.5
cciExit,8/24/2022 1:18,4123,-25,-8562.5
cciBuy,8/24/2022 1:13,4123.5,-25,-8562.5
cciExit,8/24/2022 1:09,4123.5,-25,-8537.5
cciBuy,8/24/2022 1:09,4124,-25,-8537.5
cciExit,8/24/2022 1:06,4123.75,325,-8512.5
cciBuy,8/24/2022 0:39,4117.25,325,-8512.5
cciExit,8/24/2022 0:08,4115,-25,-8837.5
cciBuy,8/24/2022 0:08,4115.5,-25,-8837.5
cciExit,8/24/2022 0:03,4115.5,-25,-8812.5
cciBuy,8/24/2022 0:03,4116,-25,-8812.5
cciExit,8/24/2022 0:00,4115.75,-12.5,-8787.5
cciBuy,8/23/2022 23:53,4116,-12.5,-8787.5
cciExit,8/23/2022 23:50,4115.75,-12.5,-8775
cciBuy,8/23/2022 23:50,4116,-12.5,-8775
cciExit,8/23/2022 23:47,4116,25,-8762.5
cciBuy,8/23/2022 23:30,4115.5,25,-8762.5
cciExit,8/23/2022 23:28,4115,-50,-8787.5
cciBuy,8/23/2022 23:26,4116,-50,-8787.5
cciExit,8/23/2022 23:20,4116,0,-8737.5
cciBuy,8/23/2022 22:47,4116,0,-8737.5
cciExit,8/23/2022 22:41,4116.25,-37.5,-8737.5
cciBuy,8/23/2022 22:40,4117,-37.5,-8737.5
cciExit,8/23/2022 22:35,4117.5,-50,-8700
cciBuy,8/23/2022 22:35,4118.5,-50,-8700
cciExit,8/23/2022 22:31,4118.5,-12.5,-8650
cciBuy,8/23/2022 22:15,4118.75,-12.5,-8650
cciExit,8/23/2022 22:09,4118.75,0,-8637.5
cciBuy,8/23/2022 21:55,4118.75,0,-8637.5
cciExit,8/23/2022 21:34,4125,-12.5,-8637.5
cciBuy,8/23/2022 21:34,4125.25,-12.5,-8637.5
cciExit,8/23/2022 21:12,4125,-37.5,-8625
cciBuy,8/23/2022 21:09,4125.75,-37.5,-8625
cciExit,8/23/2022 20:57,4126.75,50,-8587.5
cciBuy,8/23/2022 20:46,4125.75,50,-8587.5
cciExit,8/23/2022 20:42,4125.75,-37.5,-8637.5
cciBuy,8/23/2022 20:41,4126.5,-37.5,-8637.5
cciExit,8/23/2022 20:35,4127.5,-37.5,-8600
cciBuy,8/23/2022 20:29,4128.25,-37.5,-8600
cciExit,8/23/2022 20:23,4128.25,-50,-8562.5
cciBuy,8/23/2022 20:13,4129.25,-50,-8562.5
cciExit,8/23/2022 20:02,4127.5,-37.5,-8512.5
cciBuy,8/23/2022 19:59,4128.25,-37.5,-8512.5
